431;431;450;458;434;423;418;426;407;392;399;394;414;407;424;438;427;429;440
453;443;443;463;462;425;404;404;398;386;379;378;395;417;444;445;468;453;449
443;450;450;471;433;423;417;410;395;384;387;394;393;418;437;458;473;467;464
464;455;449;473;451;434;413;406;403;386;380;396;411;443;448;458;466;466;466
472;474;464;471;459;437;416;403;397;355;371;406;432;454;451;457;467;474;465
479;469;465;479;457;461;438;434;429;384;395;423;453;454;458;458;460;451;450
468;465;473;483;494;482;449;444;434;421;408;438;432;455;450;460;468;466;449
465;477;474;474;470;464;459;484;476;475;448;461;467;461;466;462;471;461;456
468;460;494;478;483;477;484;513;550;609;539;490;473;469;478;478;458;461;462
473;463;480;481;486;472;502;541;652;977;654;510;490;460;460;471;476;475;466
487;483;478;484;498;488;492;523;556;599;548;486;485;478;468;468;489;475;481
470;484;502;500;493;488;469;478;466;464;460;469;463;445;455;466;475;482;483
480;498;502;483;468;467;453;424;426;416;415;446;452;454;448;451;466;465;471
490;496;465;464;462;465;415;424;396;395;398;424;421;443;456;468;470;474;459
470;455;465;451;448;449;419;418;413;390;404;414;417;444;455;447;456;456;457
460;463;465;458;442;441;429;398;389;393;428;412;420;428;444;452;446;441;438
480;487;463;463;457;434;428;408;397;408;403;418;417;435;438;440;446;425;438
463;462;471;465;452;439;441;413;414;427;413;399;421;436;463;455;448;432;454
465;464;484;486;460;442;435;445;434;400;414;400;446;448;450;460;465;466;445
