275;286;273;274;304;328;338;359;353;336;330;315;294;286;274
281;297;292;299;331;334;366;367;361;346;336;320;295;269;269
291;304;304;317;337;359;377;377;377;362;330;318;305;295;298
301;313;297;334;338;368;388;389;375;367;344;330;308;305;309
304;311;310;336;358;384;395;402;405;372;341;325;318;306;303
315;318;329;346;373;403;423;426;406;388;359;340;325;311;302
335;337;343;346;383;412;435;436;431;390;371;352;336;318;302
324;336;347;359;396;417;445;470;427;404;375;361;343;316;305
318;339;340;353;376;408;433;449;426;412;386;340;322;318;311
319;330;348;353;380;394;410;423;425;403;368;351;338;306;308
317;331;347;339;362;390;407;412;400;386;364;337;318;310;314
314;327;344;336;363;368;380;395;377;375;346;326;309;300;295
307;309;324;325;348;366;360;371;377;352;343;313;301;300;298
282;295;307;314;337;348;357;363;351;350;330;310;304;296;293
290;295;304;297;318;332;344;343;327;322;323;308;303;297;301
