227;238;227;234;221;207;212;210;217;219;230;242;253;252;242
254;246;236;230;227;214;225;209;195;217;231;234;247;250;239
243;257;254;226;239;220;223;196;217;224;236;241;257;255;246
237;236;235;233;233;227;213;213;228;222;243;235;250;256;255
241;241;237;243;221;220;233;226;236;229;244;246;260;261;247
232;236;230;226;238;249;261;275;275;260;260;244;248;263;267
239;246;225;230;253;282;315;338;301;277;267;262;256;258;262
243;238;245;248;245;293;355;522;365;280;259;248;242;264;253
229;243;242;259;247;270;301;336;290;259;259;261;245;256;248
244;242;253;252;249;242;235;243;246;244;258;266;262;253;255
250;260;257;252;242;226;231;224;236;223;239;256;255;236;248
241;239;238;244;228;218;208;213;215;230;253;260;262;262;249
240;252;234;234;223;210;208;217;212;229;250;262;253;263;241
227;239;222;219;212;203;209;202;199;207;234;241;243;257;237
214;207;200;211;212;223;210;199;203;208;223;251;239;243;247
