584;596;624;610;613;632;668;667;695;718;702;689;659;621;609;602;574;573;562
610;610;610;637;639;639;666;706;723;723;719;682;678;650;641;629;594;580;584
609;614;605;619;633;649;703;731;738;750;745;725;710;657;634;641;616;589;600
589;615;625;638;647;691;705;725;771;795;759;741;722;675;647;650;626;595;606
598;617;626;665;687;700;728;737;792;810;792;759;744;689;666;630;621;606;610
612;632;638;673;695;701;748;785;836;851;849;819;773;724;676;651;650;645;620
627;637;654;685;701;736;771;814;880;887;874;835;790;737;689;667;665;655;646
630;636;637;666;707;754;808;861;911;945;904;853;818;750;720;683;678;645;654
640;647;640;676;744;787;821;888;941;974;926;883;830;763;735;698;683;673;672
629;656;669;692;741;787;846;896;960;1027;953;907;847;808;774;701;684;674;674
638;658;663;691;736;790;832;882;946;971;945;889;839;809;768;704;690;693;661
651;676;684;688;714;776;818;865;926;947;927;875;835;800;755;709;669;657;649
660;687;673;690;712;739;786;837;891;904;886;854;815;780;743;697;659;645;636
666;680;660;668;701;734;765;818;874;879;846;804;784;746;720;690;662;645;640
631;655;634;657;697;709;758;786;845;841;804;777;755;722;706;662;645;629;629
622;630;612;636;673;699;719;766;788;816;779;745;724;691;676;642;621;626;610
617;609;608;642;667;687;692;737;755;776;749;725;690;652;627;620;605;628;617
619;620;594;626;646;654;682;712;736;739;715;696;649;635;631;612;595;613;617
624;595;596;617;643;649;648;666;697;701;677;664;649;628;602;598;595;602;593
